Plant_Type,Soil_Moisture,Temperature,Humidity,Light_Lux,Status
Kacang Hijau,43.0,19.62,52.02,41547.46,SQUINT
Sirih Gading,57.55,19.27,44.48,21171.94,SQUINT
Kacang Hijau,65.23,23.58,73.17,42280.22,SQUINT
Sirih Gading,43.73,18.52,79.89,20177.43,SQUINT
Sirih Gading,85.45,24.84,53.38,17000.22,SQUINT
Lidah Buaya,17.07,30.9,24.27,43516.38,NORMAL
Kacang Hijau,92.91,31.93,49.2,19366.13,SICK
Bayam,78.1,17.81,70.91,18333.36,COLD
Sirih Gading,39.75,37.44,67.61,10857.02,HOT
Bayam,71.41,30.59,56.73,14630.64,NORMAL
Kacang Hijau,4.52,38.32,60.65,1318.35,HOT
Lidah Buaya,17.22,18.0,45.32,3361.43,COLD
Sirih Gading,48.53,27.58,69.69,7469.08,NORMAL
Sirih Gading,86.36,26.56,44.97,46463.05,SQUINT
Sirih Gading,92.58,35.33,71.33,45463.25,HOT
Bayam,43.55,17.67,88.47,3617.43,COLD
Kacang Hijau,83.92,28.78,45.0,8033.98,NORMAL
Kacang Hijau,12.0,31.14,46.53,15603.2,THIRSTY
Lidah Buaya,75.86,15.66,65.56,27307.22,COLD
Sirih Gading,9.3,19.71,49.2,7193.4,THIRSTY
Lidah Buaya,49.36,28.48,34.23,21831.57,NORMAL
Kacang Hijau,76.93,35.69,55.32,551.56,HOT
Kacang Hijau,7.23,35.21,71.03,47755.76,HOT
Sirih Gading,11.98,35.49,67.66,26596.65,HOT
Sirih Gading,33.58,37.19,64.3,30753.49,HOT
Kacang Hijau,63.41,26.78,85.86,6313.24,NORMAL
Sirih Gading,38.93,17.2,94.25,15668.47,COLD
Lidah Buaya,4.56,18.59,41.36,45107.71,THIRSTY
Sirih Gading,57.02,19.28,36.51,43092.19,SQUINT
Lidah Buaya,54.37,17.09,52.22,13781.77,COLD
Sirih Gading,5.62,22.95,87.8,24281.71,THIRSTY
Bayam,92.1,33.47,70.81,26755.34,NORMAL
Lidah Buaya,41.35,37.23,31.45,22142.92,HOT
Bayam,17.48,25.44,72.55,16929.3,THIRSTY
Kacang Hijau,15.62,17.03,95.0,49421.05,COLD
Lidah Buaya,5.01,23.6,83.32,25615.77,NORMAL
Lidah Buaya,95.28,37.44,10.0,33228.97,HOT
Kacang Hijau,99.01,32.66,52.1,15593.97,SICK
Kacang Hijau,76.86,25.73,38.22,11313.62,NORMAL
Bayam,40.37,37.87,47.91,43119.02,HOT
Kacang Hijau,17.74,34.41,51.81,27251.35,THIRSTY
Bayam,57.98,37.89,60.34,26017.32,HOT
Lidah Buaya,93.07,26.7,80.88,44770.7,SICK
Kacang Hijau,83.93,32.67,12.88,191.0,GLOOMY
Sirih Gading,32.01,35.17,10.0,21088.71,HOT
Lidah Buaya,87.59,39.12,60.11,8803.35,HOT
Lidah Buaya,60.86,28.55,56.79,19409.05,NORMAL
Bayam,81.01,35.82,12.28,24063.81,HOT
Kacang Hijau,33.92,38.91,25.51,3121.57,HOT
Bayam,90.3,39.55,10.0,40703.41,HOT
Bayam,0.34,29.72,22.66,12264.5,THIRSTY
Sirih Gading,30.89,18.58,89.69,32942.77,SQUINT
Lidah Buaya,16.51,33.41,58.65,47833.0,NORMAL
Lidah Buaya,26.12,26.69,64.54,16239.64,NORMAL
Kacang Hijau,7.79,35.53,42.33,47772.41,HOT
Lidah Buaya,88.21,38.54,66.47,28183.4,HOT
Kacang Hijau,21.4,19.3,64.82,14164.22,THIRSTY
Kacang Hijau,11.1,31.77,49.08,22352.78,THIRSTY
Bayam,52.49,25.42,44.13,29982.01,NORMAL
Kacang Hijau,28.43,21.79,59.59,6691.42,THIRSTY
Kacang Hijau,49.72,38.62,47.4,30892.36,HOT
Bayam,5.81,23.49,69.88,46455.82,THIRSTY
Sirih Gading,39.28,28.31,36.27,8982.56,NORMAL
Bayam,33.55,34.62,39.56,4117.65,THIRSTY
Sirih Gading,32.06,32.45,53.49,4676.01,NORMAL
Lidah Buaya,1.34,37.22,24.22,42169.58,HOT
Kacang Hijau,61.92,27.5,67.37,9332.0,NORMAL
Lidah Buaya,50.39,38.86,13.98,34027.74,HOT
Kacang Hijau,48.05,34.5,10.0,5246.51,NORMAL
Sirih Gading,34.8,19.67,52.21,23453.02,SQUINT
Lidah Buaya,90.16,29.73,13.8,27282.18,SICK
Bayam,52.01,23.36,89.65,20034.96,NORMAL
Lidah Buaya,92.82,38.32,50.08,39848.74,HOT
Lidah Buaya,1.87,27.86,55.57,35561.36,THIRSTY
Bayam,7.53,24.69,50.27,1572.86,THIRSTY
Sirih Gading,2.82,21.54,29.88,12237.25,THIRSTY
Kacang Hijau,21.49,22.85,40.14,21242.54,THIRSTY
Sirih Gading,80.6,16.69,83.11,14474.89,COLD
Kacang Hijau,87.36,26.1,55.58,49778.45,SQUINT
Bayam,47.55,28.65,29.5,15908.76,NORMAL
Bayam,75.38,38.21,37.21,21965.16,HOT
Bayam,15.04,39.45,28.74,23298.34,HOT
Bayam,88.12,18.68,61.16,21059.57,NORMAL
Kacang Hijau,17.32,27.29,49.71,21692.58,THIRSTY
Kacang Hijau,78.75,29.43,38.36,12550.07,NORMAL
Sirih Gading,77.47,38.64,10.0,13240.82,HOT
Sirih Gading,35.95,23.75,60.47,6290.12,NORMAL
Kacang Hijau,3.12,33.31,22.57,13113.2,THIRSTY
Kacang Hijau,23.04,22.6,44.87,73.69,THIRSTY
Kacang Hijau,64.88,35.34,70.32,47728.3,HOT
Bayam,39.05,17.17,92.11,26203.62,COLD
Bayam,87.26,15.89,95.0,14867.19,COLD
Kacang Hijau,91.09,32.12,20.71,41126.86,SICK
Bayam,0.83,15.26,36.17,5517.75,COLD
Lidah Buaya,0.34,39.32,10.0,19033.41,HOT
Lidah Buaya,87.56,21.18,43.86,25756.88,SICK
Sirih Gading,27.96,20.27,43.03,6370.4,NORMAL
Bayam,92.32,20.83,67.47,37404.47,SQUINT
Bayam,34.02,19.7,42.78,15906.63,THIRSTY
Bayam,88.12,34.67,28.89,30745.5,NORMAL
Sirih Gading,98.71,25.77,31.07,28057.51,SICK
Bayam,60.26,19.77,76.43,9226.75,NORMAL
Bayam,30.58,22.74,44.19,44240.15,THIRSTY
Sirih Gading,17.4,22.64,34.58,38037.97,THIRSTY
Bayam,66.13,19.84,42.32,45562.81,SQUINT
Lidah Buaya,82.54,23.45,92.2,44195.09,SICK
Bayam,1.69,26.17,43.64,26104.76,THIRSTY
Bayam,23.19,30.07,52.93,2334.89,THIRSTY
Lidah Buaya,33.36,31.99,41.1,15180.25,NORMAL
Bayam,38.35,16.87,39.91,47011.71,COLD
Bayam,67.62,22.71,85.35,17045.82,NORMAL
Sirih Gading,77.77,21.67,60.41,42916.15,SQUINT
Lidah Buaya,45.98,21.34,86.79,10509.26,NORMAL
Sirih Gading,17.92,39.7,31.91,44557.0,HOT
Lidah Buaya,3.74,27.8,81.18,25013.23,THIRSTY
Lidah Buaya,31.89,25.81,30.43,21608.36,NORMAL
Bayam,48.48,15.95,75.96,5288.95,COLD
Bayam,85.3,32.34,62.15,48642.83,SQUINT
Kacang Hijau,29.0,18.93,50.79,43570.7,THIRSTY
Lidah Buaya,83.84,19.57,36.29,38829.92,SICK
Sirih Gading,41.47,38.14,45.46,46517.56,HOT
Lidah Buaya,32.93,27.44,56.97,41970.17,NORMAL
Bayam,61.31,30.26,27.84,31413.97,NORMAL
Kacang Hijau,5.82,34.52,37.91,49743.32,THIRSTY
Sirih Gading,14.45,21.86,63.05,6697.06,THIRSTY
Kacang Hijau,51.92,17.63,46.61,30387.63,COLD
Sirih Gading,34.22,24.46,27.0,49069.17,SQUINT
Bayam,76.36,25.21,44.09,4847.57,NORMAL
Lidah Buaya,84.98,37.46,38.21,2995.24,HOT
Lidah Buaya,72.78,15.46,72.48,31092.8,COLD
Kacang Hijau,86.21,37.22,68.57,40475.8,HOT
Lidah Buaya,62.19,36.31,52.56,24801.64,HOT
Lidah Buaya,19.28,27.79,65.29,34419.84,NORMAL
Sirih Gading,95.8,31.01,32.97,1671.18,SICK
Sirih Gading,43.8,16.22,92.23,17119.76,COLD
Bayam,30.67,17.85,47.56,48078.95,COLD
Lidah Buaya,36.0,23.63,58.62,801.82,GLOOMY
Bayam,43.5,39.65,55.5,36364.62,HOT
Lidah Buaya,98.0,28.14,38.49,15984.78,SICK
Lidah Buaya,90.32,16.43,59.52,1049.15,COLD
Sirih Gading,88.91,31.6,39.96,42261.28,SQUINT
Bayam,47.44,19.68,82.11,17557.18,NORMAL
Sirih Gading,15.83,20.16,88.63,22783.04,THIRSTY
Lidah Buaya,56.84,24.35,77.7,5432.44,NORMAL
Bayam,73.39,29.77,19.12,49737.68,SQUINT
Lidah Buaya,62.39,23.1,57.98,11608.93,NORMAL
Bayam,26.94,23.19,87.34,49453.72,THIRSTY
Sirih Gading,38.72,33.46,11.77,14138.27,NORMAL
Kacang Hijau,34.29,17.75,92.74,34193.51,COLD
Bayam,48.54,22.88,59.84,17695.29,NORMAL
Bayam,61.48,23.94,41.94,45138.8,SQUINT
Bayam,78.39,30.62,66.15,25964.0,NORMAL
Lidah Buaya,29.47,33.55,57.16,27540.82,NORMAL
Lidah Buaya,21.63,26.39,77.55,25291.66,NORMAL
Lidah Buaya,22.1,33.03,60.81,25049.84,NORMAL
Sirih Gading,26.49,19.12,53.42,17493.08,SQUINT
Lidah Buaya,14.0,19.32,88.21,20040.62,NORMAL
Sirih Gading,17.48,17.74,95.0,32401.52,COLD
Kacang Hijau,1.3,22.33,86.75,4275.43,THIRSTY
Sirih Gading,22.83,26.11,70.29,2922.9,NORMAL
Kacang Hijau,66.33,39.43,15.32,41954.98,HOT
Kacang Hijau,8.76,21.58,50.34,46847.89,THIRSTY
Kacang Hijau,16.19,23.48,57.69,32905.11,THIRSTY
Bayam,0.83,25.49,32.44,48502.87,THIRSTY
Sirih Gading,42.55,20.09,81.2,28270.8,SQUINT
Lidah Buaya,20.8,35.59,56.32,43806.99,HOT
Kacang Hijau,69.5,30.0,32.92,43006.12,SQUINT
Lidah Buaya,77.47,39.77,37.65,42951.92,HOT
Lidah Buaya,69.91,16.47,33.61,13964.37,COLD
Sirih Gading,82.18,34.31,17.85,38462.53,SQUINT
Sirih Gading,43.3,20.65,69.38,3551.23,NORMAL
Sirih Gading,16.87,31.41,73.87,48416.35,THIRSTY
Lidah Buaya,38.88,25.73,75.9,42546.54,NORMAL
Kacang Hijau,29.44,39.09,58.57,19254.89,HOT
Lidah Buaya,3.06,15.26,54.77,4705.4,COLD
Sirih Gading,27.25,22.77,30.31,41589.27,SQUINT
Kacang Hijau,11.12,25.61,82.54,24631.26,THIRSTY
Kacang Hijau,98.12,16.83,75.82,9505.38,COLD
Kacang Hijau,26.12,34.51,45.21,34747.66,THIRSTY
Bayam,31.43,28.92,69.21,4233.49,THIRSTY
Kacang Hijau,86.24,24.91,63.68,47476.03,SQUINT
Bayam,37.35,19.43,53.81,49658.54,THIRSTY
Kacang Hijau,70.93,16.96,70.17,8366.07,COLD
Kacang Hijau,99.72,22.16,80.44,1501.3,SICK
Bayam,99.01,19.31,81.9,38889.58,SICK
Sirih Gading,46.07,19.21,41.99,14313.99,NORMAL
Kacang Hijau,97.38,29.71,40.77,27209.93,SICK
Kacang Hijau,18.53,17.45,34.41,27063.51,COLD
Lidah Buaya,76.59,31.57,69.25,18956.97,NORMAL
Bayam,22.89,36.3,39.75,6081.14,HOT
Kacang Hijau,55.91,25.84,88.55,16058.11,NORMAL
Kacang Hijau,41.58,32.3,18.85,27429.42,SQUINT
Lidah Buaya,86.23,33.73,21.12,17127.11,SICK
Lidah Buaya,30.24,23.69,91.61,11936.92,NORMAL
Lidah Buaya,52.45,24.46,74.15,658.14,GLOOMY
Sirih Gading,13.08,34.62,19.57,33790.58,THIRSTY
Kacang Hijau,97.12,19.03,74.9,28109.44,SICK
Kacang Hijau,62.34,39.85,59.35,28468.87,HOT
Sirih Gading,73.6,30.09,23.83,15061.56,SQUINT
Bayam,56.35,37.02,55.01,6000.14,HOT
Kacang Hijau,59.79,38.49,62.41,46093.71,HOT
Lidah Buaya,3.32,37.92,45.61,49838.13,HOT
Bayam,90.8,21.46,76.0,11784.36,NORMAL
Lidah Buaya,11.7,31.63,28.74,802.94,GLOOMY
Sirih Gading,73.57,17.69,90.2,10585.84,COLD
Bayam,73.91,15.93,35.45,15900.49,COLD
Bayam,85.56,17.57,34.85,46363.24,COLD
Bayam,34.52,39.9,33.22,9295.09,HOT
Bayam,74.03,19.88,35.69,38501.52,SQUINT
Sirih Gading,77.49,21.05,37.75,6485.31,NORMAL
Kacang Hijau,83.82,30.24,61.11,40140.55,SQUINT
Kacang Hijau,22.96,19.48,76.85,5877.57,THIRSTY
Sirih Gading,40.65,25.01,86.29,38591.8,SQUINT
Kacang Hijau,50.53,17.58,94.31,41322.87,COLD
Sirih Gading,58.33,27.48,81.49,26919.21,SQUINT
Kacang Hijau,76.36,22.36,90.35,7005.66,NORMAL
Lidah Buaya,61.81,19.41,78.9,4577.59,NORMAL
Lidah Buaya,75.02,17.71,95.0,31558.71,COLD
Kacang Hijau,40.54,33.05,10.74,25814.16,SQUINT
Lidah Buaya,66.95,22.59,62.75,1334.66,GLOOMY
Lidah Buaya,38.4,19.8,46.42,31162.95,NORMAL
Lidah Buaya,43.04,29.55,68.88,22691.89,NORMAL
Kacang Hijau,31.44,15.79,78.37,25428.53,COLD
Kacang Hijau,50.31,18.07,92.6,22467.49,NORMAL
Bayam,26.22,37.87,68.83,10642.54,HOT
Bayam,9.35,18.77,48.87,10543.89,THIRSTY
Kacang Hijau,46.09,27.78,58.14,41435.45,SQUINT
Sirih Gading,68.15,39.27,24.74,3176.79,HOT
Sirih Gading,7.82,36.91,16.25,39405.95,HOT
Kacang Hijau,4.19,18.92,87.03,20959.14,THIRSTY
Sirih Gading,64.77,33.09,48.27,1464.97,NORMAL
Kacang Hijau,19.58,24.14,37.06,7040.15,THIRSTY
Bayam,85.54,23.38,76.93,21780.32,NORMAL
Bayam,98.6,21.68,70.19,2452.68,SICK
Sirih Gading,86.81,38.79,21.69,44062.53,HOT
Sirih Gading,69.57,23.44,79.01,38289.21,SQUINT
Kacang Hijau,76.23,34.11,50.0,1946.9,NORMAL
Lidah Buaya,5.3,32.24,51.02,3919.42,NORMAL
Kacang Hijau,42.26,33.55,66.57,15146.55,NORMAL
Lidah Buaya,29.77,21.56,41.43,22065.56,NORMAL
Kacang Hijau,46.67,20.23,33.09,24106.6,NORMAL
Bayam,82.56,23.3,66.26,46838.7,SQUINT
Sirih Gading,76.19,34.59,10.0,44665.22,SQUINT
Lidah Buaya,76.17,25.64,40.92,41624.34,NORMAL
Sirih Gading,41.81,31.01,72.41,45550.78,SQUINT
Lidah Buaya,28.19,27.04,69.52,10953.34,NORMAL
Bayam,85.97,25.23,37.44,35009.41,SQUINT
Sirih Gading,55.68,27.92,67.15,46451.04,SQUINT
Lidah Buaya,38.84,24.1,51.6,47999.25,NORMAL
Kacang Hijau,72.89,23.04,82.3,4769.96,NORMAL
Bayam,69.06,31.84,60.78,5698.1,NORMAL
Sirih Gading,3.76,26.67,21.19,35859.07,THIRSTY
Bayam,52.43,16.81,93.6,20413.34,COLD
Bayam,98.29,30.89,32.43,13706.81,SICK
Sirih Gading,12.46,26.78,74.65,42882.8,THIRSTY
Lidah Buaya,48.35,23.47,81.66,41636.15,NORMAL
Kacang Hijau,43.94,24.3,51.29,30646.98,SQUINT
Lidah Buaya,54.15,21.93,86.21,45306.88,NORMAL
Lidah Buaya,3.55,17.74,93.57,43159.37,COLD
Lidah Buaya,25.05,31.15,41.33,16722.31,NORMAL
Sirih Gading,97.06,26.9,20.27,35803.15,SICK
Bayam,93.67,39.81,45.34,41347.45,HOT
Bayam,90.87,26.6,19.32,25920.38,NORMAL
Bayam,88.76,19.94,61.16,28319.54,NORMAL
Sirih Gading,1.42,39.02,36.6,12881.6,HOT
Sirih Gading,18.8,23.81,60.63,42983.28,THIRSTY
Bayam,87.78,28.7,46.16,5001.58,NORMAL
Kacang Hijau,24.85,27.15,24.4,15847.13,THIRSTY
Sirih Gading,40.03,23.44,23.61,27493.85,SQUINT
Lidah Buaya,25.94,36.55,25.84,37165.77,HOT
Sirih Gading,93.6,21.42,66.88,33906.13,SICK
Sirih Gading,41.48,32.17,68.15,38393.05,SQUINT
Bayam,90.36,15.83,60.75,11949.33,COLD
Bayam,47.28,34.61,53.09,44987.98,SQUINT
Sirih Gading,86.27,16.3,94.95,22166.02,COLD
Sirih Gading,81.03,20.79,39.0,6751.91,NORMAL
Bayam,96.32,39.27,53.69,35363.54,HOT
Kacang Hijau,8.27,36.62,13.42,24226.9,HOT
Bayam,33.91,19.57,80.69,35494.77,THIRSTY
Kacang Hijau,19.52,29.42,47.84,36122.61,THIRSTY
Bayam,20.85,20.41,45.33,38253.17,THIRSTY
Sirih Gading,48.51,17.83,59.2,27041.35,COLD
Bayam,87.64,39.58,21.15,42159.96,HOT
Lidah Buaya,61.34,24.63,20.81,1488.6,GLOOMY
Kacang Hijau,8.57,21.85,30.28,44709.54,THIRSTY
Kacang Hijau,1.08,24.99,42.89,41327.55,THIRSTY
Lidah Buaya,89.71,23.19,49.03,856.1,SICK
Sirih Gading,90.84,20.24,59.02,5224.02,SICK
Kacang Hijau,76.02,21.37,73.16,29781.94,SQUINT
Sirih Gading,95.71,21.3,79.97,34839.78,SICK
Lidah Buaya,54.11,37.43,21.83,15825.11,HOT
Lidah Buaya,26.76,38.91,17.79,44447.61,HOT
Sirih Gading,62.91,32.57,64.14,7632.91,NORMAL
Lidah Buaya,61.64,30.47,15.67,34251.5,NORMAL
Kacang Hijau,5.63,15.28,67.38,5940.9,COLD
Bayam,4.2,23.49,45.73,29911.89,THIRSTY
Lidah Buaya,41.67,31.2,74.28,15720.5,NORMAL
Kacang Hijau,75.7,37.61,58.31,2780.28,HOT
Sirih Gading,19.76,23.36,58.81,40258.72,THIRSTY
Kacang Hijau,31.88,28.49,70.12,31294.57,SQUINT
Lidah Buaya,55.05,26.69,42.45,35323.82,NORMAL
Sirih Gading,40.5,22.06,43.93,49939.65,SQUINT
Lidah Buaya,22.6,29.88,36.67,31973.42,NORMAL
Kacang Hijau,5.17,28.66,82.2,25239.78,THIRSTY
Lidah Buaya,54.19,19.43,51.17,8510.73,NORMAL
Sirih Gading,75.49,24.16,24.97,47758.76,SQUINT
Kacang Hijau,99.05,33.77,63.33,20630.88,SICK
Sirih Gading,66.91,36.67,46.33,6314.17,HOT
Bayam,55.0,21.95,86.9,20670.83,NORMAL
Lidah Buaya,87.92,22.11,43.04,8123.96,SICK
Bayam,38.73,24.36,26.61,30010.13,THIRSTY
Sirih Gading,23.07,17.23,62.29,14559.82,COLD
Sirih Gading,89.13,16.37,80.08,40194.24,COLD
Kacang Hijau,97.15,18.5,49.13,16567.35,SICK
Bayam,88.97,16.85,44.48,30434.38,COLD
Sirih Gading,55.77,20.1,85.2,2730.52,NORMAL
Kacang Hijau,24.15,19.14,91.14,17713.57,THIRSTY
Bayam,36.45,34.95,60.13,49438.02,THIRSTY
Sirih Gading,87.16,31.69,10.87,22336.98,SQUINT
Sirih Gading,32.07,21.63,88.33,27616.9,SQUINT
Lidah Buaya,31.8,19.73,65.25,26320.68,NORMAL
Lidah Buaya,67.68,35.43,20.79,21533.68,HOT
Bayam,20.43,34.06,42.84,27261.79,THIRSTY
Lidah Buaya,84.93,36.11,50.51,6927.37,HOT
Bayam,63.94,18.52,40.69,43643.66,SQUINT
Lidah Buaya,29.71,21.72,41.98,28860.11,NORMAL
Bayam,54.65,30.58,58.27,10262.88,NORMAL
Bayam,68.62,15.57,95.0,1709.77,COLD
Kacang Hijau,76.76,24.25,24.8,20825.22,NORMAL
Sirih Gading,79.78,32.93,48.85,43218.31,SQUINT
Kacang Hijau,69.37,19.09,84.5,11038.48,NORMAL
Bayam,37.11,33.65,21.36,31711.4,THIRSTY
Kacang Hijau,75.51,17.02,95.0,29331.2,COLD
Bayam,81.15,32.46,73.65,41426.93,SQUINT
Bayam,56.32,23.1,70.37,8111.48,NORMAL
Kacang Hijau,28.58,29.72,39.2,10161.15,THIRSTY
Lidah Buaya,99.34,36.26,10.0,34936.35,HOT
Sirih Gading,3.9,30.72,30.05,22778.34,THIRSTY
Lidah Buaya,53.65,25.34,45.65,22667.68,NORMAL
Bayam,95.36,25.69,63.84,41981.22,SICK
Kacang Hijau,9.54,35.43,69.48,22502.93,HOT
Kacang Hijau,27.41,33.22,67.98,40353.55,THIRSTY
Bayam,3.63,28.57,70.58,49200.91,THIRSTY
Sirih Gading,43.56,26.23,58.1,20742.34,SQUINT
Kacang Hijau,57.83,30.56,66.35,7348.14,NORMAL
Sirih Gading,54.35,25.23,57.75,24857.69,SQUINT
Sirih Gading,6.8,35.0,21.91,15845.21,HOT
Lidah Buaya,87.03,19.66,36.42,46971.58,SICK
Bayam,60.65,20.68,53.76,37766.95,SQUINT
Kacang Hijau,2.18,23.68,84.96,33189.48,THIRSTY
Sirih Gading,81.12,39.2,51.41,1641.27,HOT
Sirih Gading,10.58,32.51,61.86,25306.99,THIRSTY
Sirih Gading,83.69,30.17,77.38,49774.18,SQUINT
Kacang Hijau,39.69,15.83,39.26,6635.79,COLD
Kacang Hijau,68.79,17.56,95.0,3391.85,COLD
Lidah Buaya,0.06,20.85,31.82,30415.97,THIRSTY
Lidah Buaya,35.45,35.85,10.0,37140.83,HOT
Sirih Gading,67.85,30.91,63.73,9920.51,NORMAL
Bayam,81.71,27.0,74.9,45799.6,SQUINT
Bayam,20.09,20.12,48.42,38713.03,THIRSTY
Lidah Buaya,61.2,22.55,73.65,21359.06,NORMAL
Bayam,18.38,34.28,34.88,47070.56,THIRSTY
Bayam,45.59,22.18,59.28,17221.4,NORMAL
Bayam,16.42,20.65,72.47,2799.01,THIRSTY
Bayam,75.79,38.14,26.59,26512.38,HOT
Kacang Hijau,99.89,16.68,39.12,16331.96,COLD
Bayam,59.5,23.72,53.68,48697.03,SQUINT
Bayam,58.79,27.6,63.94,42117.84,SQUINT
Sirih Gading,94.36,33.01,43.79,2094.02,SICK
Lidah Buaya,77.08,33.22,60.96,33172.22,NORMAL
Lidah Buaya,95.32,25.72,72.27,49273.77,SICK
Bayam,97.22,19.68,84.02,10737.97,SICK
Sirih Gading,28.74,39.82,26.32,27893.96,HOT
Lidah Buaya,14.68,34.44,24.85,14589.73,NORMAL
Lidah Buaya,4.68,36.42,41.51,48713.61,HOT
Kacang Hijau,22.46,33.44,39.0,22621.98,THIRSTY
Sirih Gading,77.2,16.68,74.04,41410.64,COLD
Lidah Buaya,97.97,20.66,89.35,32382.98,SICK
Lidah Buaya,96.63,24.56,66.0,25518.77,SICK
Kacang Hijau,63.51,24.96,63.17,2265.2,NORMAL
Bayam,3.21,26.92,77.73,32193.4,THIRSTY
Lidah Buaya,94.68,18.89,95.0,16805.48,SICK
Kacang Hijau,52.02,28.01,69.55,42609.08,SQUINT
Sirih Gading,83.72,38.35,56.67,4664.37,HOT
Sirih Gading,21.08,35.33,45.7,11836.02,HOT
Lidah Buaya,80.09,38.83,42.14,20359.64,HOT
Bayam,92.55,25.24,45.87,41446.49,SQUINT
Kacang Hijau,48.9,39.04,30.08,17582.49,HOT
Sirih Gading,30.97,30.59,20.81,10089.75,NORMAL
Sirih Gading,21.94,16.43,40.6,23217.51,COLD
Sirih Gading,44.38,27.85,73.76,28542.65,SQUINT
Sirih Gading,64.53,33.33,52.12,41336.38,SQUINT
Kacang Hijau,62.3,37.81,15.53,31578.01,HOT
Sirih Gading,9.36,25.43,29.45,833.58,THIRSTY
Kacang Hijau,18.21,39.4,21.99,39484.93,HOT
Lidah Buaya,79.56,27.21,44.78,38180.22,NORMAL
Lidah Buaya,43.91,28.86,58.44,34009.96,NORMAL
Bayam,70.3,39.96,27.87,9133.15,HOT
Lidah Buaya,3.67,34.81,57.84,39948.13,THIRSTY
Sirih Gading,76.07,34.39,45.87,7493.14,NORMAL
Sirih Gading,21.0,17.62,88.66,19704.18,COLD
Bayam,79.96,36.51,35.89,29030.99,HOT
Sirih Gading,7.24,22.66,82.16,44055.26,THIRSTY
Kacang Hijau,3.47,31.99,13.48,19595.53,THIRSTY
Sirih Gading,52.32,15.49,81.26,44931.95,COLD
Bayam,86.36,29.43,74.47,18575.98,NORMAL
Sirih Gading,19.27,36.45,24.17,6453.56,HOT
Lidah Buaya,58.68,20.59,45.87,32983.3,NORMAL
Sirih Gading,7.24,20.93,57.42,47706.58,THIRSTY
Bayam,87.01,31.66,70.96,28946.83,NORMAL
Sirih Gading,24.1,22.22,34.62,46806.28,SQUINT
Lidah Buaya,97.11,24.31,28.81,28695.87,SICK
Bayam,93.23,31.82,66.91,43814.83,SQUINT
Bayam,30.02,24.21,24.38,26555.47,THIRSTY
Bayam,49.34,18.03,90.99,28607.34,NORMAL
Lidah Buaya,6.58,32.6,61.34,38170.89,NORMAL
Lidah Buaya,87.98,20.37,35.09,22015.65,SICK
Sirih Gading,76.87,19.87,63.03,3097.33,NORMAL
Sirih Gading,72.24,38.71,58.41,3899.69,HOT
Bayam,45.2,30.75,67.63,25954.59,NORMAL
Sirih Gading,62.26,29.81,46.56,502.35,NORMAL
Bayam,41.97,21.1,76.88,49068.86,SQUINT
Bayam,60.56,21.42,32.43,33993.64,NORMAL
Sirih Gading,82.32,35.88,66.22,5152.08,HOT
Kacang Hijau,85.75,28.46,84.26,4868.34,NORMAL
Kacang Hijau,26.03,34.71,51.98,45359.75,THIRSTY
Sirih Gading,13.64,25.26,35.8,9834.43,THIRSTY
Sirih Gading,66.67,24.59,31.28,14214.41,NORMAL
Lidah Buaya,42.37,15.26,81.75,25542.62,COLD
Kacang Hijau,65.94,39.43,53.92,28890.35,HOT
Bayam,84.37,38.53,59.17,25614.24,HOT
Bayam,92.18,27.89,42.05,1812.62,NORMAL
Sirih Gading,48.35,30.35,28.53,21457.47,SQUINT
Kacang Hijau,30.95,32.45,46.35,40689.75,SQUINT
Kacang Hijau,12.25,19.11,83.66,31745.33,THIRSTY
Lidah Buaya,40.14,19.79,93.85,26419.95,NORMAL
Sirih Gading,90.4,38.85,56.22,782.16,HOT
Bayam,25.42,34.71,54.99,43104.2,THIRSTY
Bayam,69.18,16.68,95.0,6080.91,COLD
Lidah Buaya,99.73,36.29,69.04,14108.93,HOT
Sirih Gading,11.24,30.65,16.79,2465.45,THIRSTY
Lidah Buaya,46.43,32.12,45.41,19890.78,NORMAL
Bayam,12.44,27.13,30.87,17252.54,THIRSTY
Bayam,73.98,26.12,72.57,26907.17,NORMAL
Kacang Hijau,33.09,36.58,46.26,3177.92,HOT
Sirih Gading,42.13,35.53,21.33,41941.97,HOT
Bayam,68.12,16.63,95.0,20872.8,COLD
Bayam,83.4,35.92,10.0,7014.25,HOT
Sirih Gading,54.66,16.52,61.66,21802.35,COLD
Lidah Buaya,12.8,30.1,54.76,49824.44,SQUINT
Bayam,22.35,31.82,50.98,42360.47,THIRSTY
Bayam,32.85,37.43,64.48,47622.56,HOT
Kacang Hijau,81.68,23.13,72.68,9080.7,NORMAL
Bayam,87.34,29.7,48.05,4200.09,NORMAL
Kacang Hijau,97.48,20.71,95.0,32516.28,SICK
Bayam,15.17,22.45,90.32,4098.44,THIRSTY
Lidah Buaya,96.45,31.41,43.02,43951.6,SICK
Lidah Buaya,92.07,21.01,45.16,3836.98,SICK
Kacang Hijau,20.19,22.7,72.78,33671.62,THIRSTY
Kacang Hijau,36.25,30.02,61.19,41199.88,SQUINT
Sirih Gading,46.78,33.85,14.45,3543.59,NORMAL
Lidah Buaya,57.02,30.39,34.43,11832.77,NORMAL
Bayam,3.32,17.26,39.54,5225.38,COLD
Kacang Hijau,37.22,20.75,65.07,33083.36,SQUINT
